[2024-05-21 13:47:56] [INFO]: =========== Stage-1: wild_connect_area.py ===========
[2024-05-21 13:47:57] [INFO]: ID=0624, Type=camid4_videoid1, View=seq0, Raw_Frame=151, Now_Frames=141, Drop_Frames=10, Drop_Ratio=0.07
[2024-05-21 13:47:58] [INFO]: ID=0143, Type=camid16_videoid2, View=seq0, Raw_Frame=26, Now_Frames=24, Drop_Frames=2, Drop_Ratio=0.08
[2024-05-21 13:47:58] [INFO]: ID=0936, Type=camid0_videoid1, View=seq0, Raw_Frame=56, Now_Frames=55, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:47:58] [INFO]: ID=0273, Type=camid15_videoid4, View=seq0, Raw_Frame=36, Now_Frames=35, Drop_Frames=1, Drop_Ratio=0.03
[2024-05-21 13:47:59] [INFO]: ID=0637, Type=camid34_videoid3, View=seq0, Raw_Frame=54, Now_Frames=53, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:47:59] [INFO]: ID=0754, Type=camid12_videoid2, View=seq0, Raw_Frame=34, Now_Frames=32, Drop_Frames=2, Drop_Ratio=0.06
[2024-05-21 13:48:00] [INFO]: ID=0949, Type=camid34_videoid1, View=seq0, Raw_Frame=49, Now_Frames=46, Drop_Frames=3, Drop_Ratio=0.06
[2024-05-21 13:48:00] [INFO]: ID=0078, Type=camid13_videoid4, View=seq0, Raw_Frame=91, Now_Frames=90, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:01] [INFO]: ID=0689, Type=camid11_videoid2, View=seq0, Raw_Frame=37, Now_Frames=35, Drop_Frames=2, Drop_Ratio=0.05ID=0247, Type=camid33_videoid2, View=seq0, Raw_Frame=75, Now_Frames=72, Drop_Frames=3, Drop_Ratio=0.04
[2024-05-21 13:48:01] [INFO]: 
[2024-05-21 13:48:01] [INFO]: ID=0546, Type=camid11_videoid1, View=seq0, Raw_Frame=59, Now_Frames=46, Drop_Frames=13, Drop_Ratio=0.22
[2024-05-21 13:48:01] [INFO]: ID=0975, Type=camid1_videoid4, View=seq0, Raw_Frame=79, Now_Frames=77, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 13:48:01] [INFO]: ID=0715, Type=camid12_videoid1, View=seq0, Raw_Frame=25, Now_Frames=24, Drop_Frames=1, Drop_Ratio=0.04
[2024-05-21 13:48:01] [INFO]: ID=0650, Type=camid8_videoid2, View=seq0, Raw_Frame=28, Now_Frames=27, Drop_Frames=1, Drop_Ratio=0.04ID=0104, Type=camid16_videoid1, View=seq0, Raw_Frame=64, Now_Frames=63, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:48:02] [INFO]: 
[2024-05-21 13:48:02] [INFO]: ID=0078, Type=camid37_videoid3, View=seq0, Raw_Frame=38, Now_Frames=37, Drop_Frames=1, Drop_Ratio=0.03
[2024-05-21 13:48:02] [INFO]: ID=0416, Type=camid0_videoid3, View=seq0, Raw_Frame=58, Now_Frames=56, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 13:48:02] [INFO]: ID=0143, Type=camid16_videoid3, View=seq1, Raw_Frame=44, Now_Frames=36, Drop_Frames=8, Drop_Ratio=0.18
[2024-05-21 13:48:03] [INFO]: ID=0026, Type=camid28_videoid3, View=seq0, Raw_Frame=134, Now_Frames=128, Drop_Frames=6, Drop_Ratio=0.04
[2024-05-21 13:48:03] [INFO]: ID=0039, Type=camid0_videoid2, View=seq0, Raw_Frame=77, Now_Frames=75, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 13:48:03] [INFO]: ID=0351, Type=camid16_videoid2, View=seq0, Raw_Frame=63, Now_Frames=60, Drop_Frames=3, Drop_Ratio=0.05
[2024-05-21 13:48:03] [INFO]: ID=0455, Type=camid0_videoid3, View=seq0, Raw_Frame=113, Now_Frames=108, Drop_Frames=5, Drop_Ratio=0.04
[2024-05-21 13:48:03] [INFO]: ID=0299, Type=camid0_videoid1, View=seq0, Raw_Frame=47, Now_Frames=46, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:48:04] [INFO]: ID=1014, Type=camid0_videoid1, View=seq0, Raw_Frame=61, Now_Frames=58, Drop_Frames=3, Drop_Ratio=0.05
[2024-05-21 13:48:04] [INFO]: ID=0715, Type=camid26_videoid1, View=seq0, Raw_Frame=43, Now_Frames=42, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:48:04] [INFO]: ID=0546, Type=camid11_videoid1, View=seq1, Raw_Frame=25, Now_Frames=19, Drop_Frames=6, Drop_Ratio=0.24
[2024-05-21 13:48:05] [INFO]: ID=0234, Type=camid31_videoid2, View=seq0, Raw_Frame=150, Now_Frames=149, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:06] [INFO]: ID=0754, Type=camid28_videoid3, View=seq0, Raw_Frame=59, Now_Frames=57, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 13:48:06] [INFO]: ID=0923, Type=camid14_videoid3, View=seq1, Raw_Frame=129, Now_Frames=124, Drop_Frames=5, Drop_Ratio=0.04
[2024-05-21 13:48:06] [INFO]: ID=0845, Type=camid12_videoid2, View=seq0, Raw_Frame=157, Now_Frames=156, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:06] [INFO]: ID=0819, Type=camid19_videoid1, View=seq0, Raw_Frame=293, Now_Frames=288, Drop_Frames=5, Drop_Ratio=0.02
[2024-05-21 13:48:06] [INFO]: ID=0403, Type=camid3_videoid2, View=seq0, Raw_Frame=60, Now_Frames=54, Drop_Frames=6, Drop_Ratio=0.10
[2024-05-21 13:48:06] [INFO]: ID=0442, Type=camid13_videoid2, View=seq0, Raw_Frame=215, Now_Frames=214, Drop_Frames=1, Drop_Ratio=0.00
[2024-05-21 13:48:06] [INFO]: ID=0455, Type=camid11_videoid3, View=seq0, Raw_Frame=150, Now_Frames=147, Drop_Frames=3, Drop_Ratio=0.02
[2024-05-21 13:48:06] [INFO]: ID=0507, Type=camid24_videoid1, View=seq0, Raw_Frame=127, Now_Frames=125, Drop_Frames=2, Drop_Ratio=0.02
[2024-05-21 13:48:07] [INFO]: ID=0169, Type=camid21_videoid2, View=seq0, Raw_Frame=91, Now_Frames=89, Drop_Frames=2, Drop_Ratio=0.02
[2024-05-21 13:48:07] [INFO]: ID=0611, Type=camid27_videoid7, View=seq0, Raw_Frame=136, Now_Frames=134, Drop_Frames=2, Drop_Ratio=0.01
[2024-05-21 13:48:07] [INFO]: ID=0364, Type=camid0_videoid2, View=seq1, Raw_Frame=82, Now_Frames=81, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:07] [INFO]: ID=0312, Type=camid0_videoid1, View=seq0, Raw_Frame=70, Now_Frames=69, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:07] [INFO]: ID=0702, Type=camid11_videoid3, View=seq0, Raw_Frame=142, Now_Frames=141, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:07] [INFO]: ID=0481, Type=camid0_videoid2, View=seq0, Raw_Frame=126, Now_Frames=125, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:07] [INFO]: ID=0325, Type=camid11_videoid2, View=seq0, Raw_Frame=85, Now_Frames=83, Drop_Frames=2, Drop_Ratio=0.02
[2024-05-21 13:48:07] [INFO]: ID=0806, Type=camid16_videoid2, View=seq0, Raw_Frame=124, Now_Frames=122, Drop_Frames=2, Drop_Ratio=0.02
[2024-05-21 13:48:08] [INFO]: ID=0286, Type=camid0_videoid1, View=seq0, Raw_Frame=166, Now_Frames=149, Drop_Frames=17, Drop_Ratio=0.10
[2024-05-21 13:48:08] [INFO]: ID=0468, Type=camid0_videoid4, View=seq0, Raw_Frame=113, Now_Frames=106, Drop_Frames=7, Drop_Ratio=0.06
[2024-05-21 13:48:08] [INFO]: ID=0898, Type=camid32_videoid3, View=seq0, Raw_Frame=26, Now_Frames=24, Drop_Frames=2, Drop_Ratio=0.08
[2024-05-21 13:48:09] [INFO]: ID=0157, Type=camid0_videoid2, View=seq0, Raw_Frame=58, Now_Frames=53, Drop_Frames=5, Drop_Ratio=0.09
[2024-05-21 13:48:09] [INFO]: ID=0975, Type=camid1_videoid4, View=seq1, Raw_Frame=75, Now_Frames=74, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 13:48:09] [INFO]: ID=0079, Type=camid0_videoid2, View=seq0, Raw_Frame=73, Now_Frames=71, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 13:48:09] [INFO]: ID=0195, Type=camid17_videoid6, View=seq0, Raw_Frame=332, Now_Frames=328, Drop_Frames=4, Drop_Ratio=0.01
[2024-05-21 13:48:09] [INFO]: ID=0014, Type=camid26_videoid1, View=seq0, Raw_Frame=141, Now_Frames=138, Drop_Frames=3, Drop_Ratio=0.02
[2024-05-21 13:48:09] [INFO]: ID=1014, Type=camid3_videoid1, View=seq0, Raw_Frame=41, Now_Frames=31, Drop_Frames=10, Drop_Ratio=0.24
[2024-05-21 13:48:10] [INFO]: ID=0169, Type=camid24_videoid2, View=seq0, Raw_Frame=74, Now_Frames=69, Drop_Frames=5, Drop_Ratio=0.07
[2024-05-21 13:48:10] [INFO]: ID=0026, Type=camid28_videoid3, View=seq1, Raw_Frame=252, Now_Frames=239, Drop_Frames=13, Drop_Ratio=0.05
[2024-05-21 13:48:11] [INFO]: ID=0404, Type=camid0_videoid2, View=seq0, Raw_Frame=59, Now_Frames=58, Drop_Frames=1, Drop_Ratio=0.02
[2024-05-21 13:48:11] [INFO]: ID=0976, Type=camid36_videoid2, View=seq0, Raw_Frame=39, Now_Frames=38, Drop_Frames=1, Drop_Ratio=0.03
[2024-05-21 13:48:11] [INFO]: ID=0494, Type=camid19_videoid2, View=seq0, Raw_Frame=338, Now_Frames=334, Drop_Frames=4, Drop_Ratio=0.01
[2024-05-21 13:48:11] [INFO]: ID=0507, Type=camid24_videoid1, View=seq1, Raw_Frame=138, Now_Frames=136, Drop_Frames=2, Drop_Ratio=0.01
[2024-05-21 13:48:11] [INFO]: ID=0677, Type=camid10_videoid2, View=seq0, Raw_Frame=112, Now_Frames=111, Drop_Frames=1, Drop_Ratio=0.01
