[2024-05-21 15:33:19] [INFO]: =========== Stage-1: wild_connect_area.py ===========
[2024-05-21 15:33:19] [INFO]: qlf_index=[], qlf_ratio=[]
[2024-05-21 15:33:23] [INFO]: ID=020, Type=bg-01, View=000, Raw_Frame=84, Now_Frames=81, Drop_Frames=3, Drop_Ratio=0.04
[2024-05-21 15:33:23] [INFO]: ID=061, Type=bg-01, View=000, Raw_Frame=90, Now_Frames=89, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 15:33:25] [INFO]: ID=002, Type=bg-01, View=000, Raw_Frame=99, Now_Frames=93, Drop_Frames=6, Drop_Ratio=0.06
[2024-05-21 15:33:25] [INFO]: ID=033, Type=bg-01, View=000, Raw_Frame=102, Now_Frames=96, Drop_Frames=6, Drop_Ratio=0.06
[2024-05-21 15:33:25] [INFO]: ID=058, Type=bg-01, View=000, Raw_Frame=76, Now_Frames=74, Drop_Frames=2, Drop_Ratio=0.03
[2024-05-21 15:33:25] [INFO]: ID=010, Type=bg-01, View=018, Raw_Frame=86, Now_Frames=83, Drop_Frames=3, Drop_Ratio=0.03
[2024-05-21 15:33:26] [INFO]: ID=051, Type=bg-01, View=000, Raw_Frame=89, Now_Frames=82, Drop_Frames=7, Drop_Ratio=0.08
[2024-05-21 15:33:26] [INFO]: ID=065, Type=bg-01, View=000, Raw_Frame=101, Now_Frames=64, Drop_Frames=37, Drop_Ratio=0.37
[2024-05-21 15:33:26] [INFO]: ID=005, Type=bg-01, View=018, Raw_Frame=71, Now_Frames=28, Drop_Frames=43, Drop_Ratio=0.61
[2024-05-21 15:33:27] [INFO]: ID=044, Type=bg-01, View=000, Raw_Frame=119, Now_Frames=116, Drop_Frames=3, Drop_Ratio=0.03
[2024-05-21 15:33:27] [INFO]: ID=061, Type=bg-01, View=018, Raw_Frame=97, Now_Frames=94, Drop_Frames=3, Drop_Ratio=0.03
[2024-05-21 15:33:27] [INFO]: qlf_index=[0 1 2 3 4 5 6 7 8], qlf_ratio=[1. 1. 1. 1. 1. 1. 1. 1. 1.]
[2024-05-21 15:33:28] [INFO]: ID=020, Type=bg-01, View=018, Raw_Frame=86, Now_Frames=72, Drop_Frames=14, Drop_Ratio=0.16
[2024-05-21 15:33:28] [INFO]: ID=031, Type=bg-01, View=000, Raw_Frame=100, Now_Frames=91, Drop_Frames=9, Drop_Ratio=0.09
[2024-05-21 15:33:28] [INFO]: ID=007, Type=bg-01, View=018, Raw_Frame=105, Now_Frames=100, Drop_Frames=5, Drop_Ratio=0.05
[2024-05-21 15:33:28] [INFO]: ID=048, Type=bg-01, View=000, Raw_Frame=97, Now_Frames=74, Drop_Frames=23, Drop_Ratio=0.24
[2024-05-21 15:33:28] [INFO]: ID=024, Type=bg-01, View=000, Raw_Frame=158, Now_Frames=155, Drop_Frames=3, Drop_Ratio=0.02
[2024-05-21 15:33:29] [INFO]: ID=055, Type=bg-01, View=000, Raw_Frame=104, Now_Frames=71, Drop_Frames=33, Drop_Ratio=0.32
[2024-05-21 15:33:29] [INFO]: ID=005, Type=bg-01, View=036, Raw_Frame=42, Now_Frames=30, Drop_Frames=12, Drop_Ratio=0.29
[2024-05-21 15:33:29] [INFO]: ID=070, Type=bg-01, View=018, Raw_Frame=72, Now_Frames=68, Drop_Frames=4, Drop_Ratio=0.06
[2024-05-21 15:33:30] [INFO]: ID=054, Type=bg-01, View=018, Raw_Frame=94, Now_Frames=93, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 15:33:30] [INFO]: ID=018, Type=bg-01, View=036, Raw_Frame=71, Now_Frames=68, Drop_Frames=3, Drop_Ratio=0.04
[2024-05-21 15:33:30] [INFO]: ID=007, Type=bg-01, View=036, Raw_Frame=97, Now_Frames=96, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 15:33:31] [INFO]: ID=051, Type=bg-01, View=018, Raw_Frame=84, Now_Frames=82, Drop_Frames=2, Drop_Ratio=0.02
[2024-05-21 15:33:31] [INFO]: ID=022, Type=bg-01, View=000, Raw_Frame=104, Now_Frames=80, Drop_Frames=24, Drop_Ratio=0.23
[2024-05-21 15:33:31] [INFO]: ID=041, Type=bg-01, View=018, Raw_Frame=77, Now_Frames=72, Drop_Frames=5, Drop_Ratio=0.06
[2024-05-21 15:33:31] [INFO]: ID=002, Type=bg-01, View=018, Raw_Frame=115, Now_Frames=109, Drop_Frames=6, Drop_Ratio=0.05
[2024-05-21 15:33:31] [INFO]: ID=033, Type=bg-01, View=018, Raw_Frame=110, Now_Frames=86, Drop_Frames=24, Drop_Ratio=0.22
[2024-05-21 15:33:32] [INFO]: ID=036, Type=bg-01, View=018, Raw_Frame=118, Now_Frames=114, Drop_Frames=4, Drop_Ratio=0.03
[2024-05-21 15:33:33] [INFO]: ID=020, Type=bg-01, View=036, Raw_Frame=80, Now_Frames=71, Drop_Frames=9, Drop_Ratio=0.11
[2024-05-21 15:33:33] [INFO]: ID=058, Type=bg-01, View=018, Raw_Frame=90, Now_Frames=76, Drop_Frames=14, Drop_Ratio=0.16
[2024-05-21 15:33:33] [INFO]: ID=072, Type=bg-01, View=036, Raw_Frame=97, Now_Frames=96, Drop_Frames=1, Drop_Ratio=0.01
[2024-05-21 15:33:34] [INFO]: ID=061, Type=bg-01, View=036, Raw_Frame=85, Now_Frames=81, Drop_Frames=4, Drop_Ratio=0.05
